date,sku;units,genre,hour
20-Dec-2010,77AA3D-647EED-D8470A-9C88F3-AED206-87A4E4-4E3B4C-25CB99-ECC5CE;20|6|12|9|17|9|12|20|11,Male,15:06
21-Dec-2010,77AA3D-D8470A-ECC5CE-25CB99-9C88F3-4E3B4C-AED206-CC2B77;14|4|8|10|9|6|4|7,Masc,18:25
22-Dec-2010,CC2B77-D8470A-ECC5CE-647EED-25CB99-77AA3D-AED206-87A4E4-4E3B4C;15|20|12|5|8|9|9|16|9,Masc,10:03
23-Dec-2010,4E3B4C-9C88F3-D8470A;17|20|17,-,12:32
24-Dec-2010,9C88F3-D8470A-4E3B4C-AED206-CC2B77-ECC5CE-647EED-25CB99-87A4E4-77AA3D;4|5|6|13|20|16|17|19|6|18,-,12:05
25-Dec-2010,87A4E4-77AA3D-25CB99-D8470A;18|18|7|20,Fem,9:26
26-Dec-2010,D8470A-25CB99-4E3B4C-ECC5CE-AED206-CC2B77-87A4E4;4|4|13|13|5|9|8,fem,14:15
27-Dec-2010,CC2B77-ECC5CE-4E3B4C-25CB99-9C88F3;6|17|10|14|13,Male,16:53
28-Dec-2010,CC2B77-25CB99-D8470A-AED206-ECC5CE-4E3B4C;9|12|10|18|5|17,masc,14:03
29-Dec-2010,ECC5CE-87A4E4-D8470A-CC2B77;19|17|16|14,Female,18:31
30-Dec-2010,9C88F3-25CB99-77AA3D-AED206-87A4E4-647EED-4E3B4C-CC2B77-ECC5CE-D8470A;5|18|14|16|11|8|19|13|8|10,Masc,17:34
31-Dec-2010,4E3B4C-AED206-9C88F3-CC2B77-D8470A-25CB99-77AA3D-647EED;8|18|15|4|18|7|13|10,Fem,10:55
1-Jan-2011,D8470A-ECC5CE-87A4E4-9C88F3;14|7|5|7,Fem,14:03
2-Jan-2011,9C88F3-77AA3D-AED206-4E3B4C-25CB99-87A4E4-ECC5CE;11|18|9|5|14|17|10,Masc,13:38
3-Jan-2011,87A4E4-25CB99-D8470A-CC2B77-9C88F3-4E3B4C-AED206-77AA3D;9|18|7|4|15|18|13|8,Male,20:26
4-Jan-2011,647EED-9C88F3-4E3B4C-ECC5CE-AED206-CC2B77-87A4E4-25CB99-D8470A;14|18|17|12|11|17|4|15|5,F,18:01
5-Jan-2011,D8470A-9C88F3-87A4E4-77AA3D-AED206;15|7|13|15|6,Female,14:24
6-Jan-2011,647EED-D8470A-4E3B4C;6|18|18,Fem,16:45
7-Jan-2011,87A4E4-25CB99-D8470A-AED206-9C88F3-ECC5CE-77AA3D-647EED;9|5|14|20|6|7|8|4,Female,16:10
8-Jan-2011,77AA3D-CC2B77-D8470A-25CB99-ECC5CE;7|8|20|16|6,Masc,19:33
9-Jan-2011,9C88F3-647EED-87A4E4-4E3B4C-D8470A-ECC5CE-25CB99-CC2B77-AED206;9|11|17|17|9|11|11|13|19,Masc,9:41
10-Jan-2011,CC2B77-ECC5CE-77AA3D-D8470A-AED206-647EED-9C88F3-25CB99-4E3B4C;11|5|18|20|15|12|5|11|19,-,9:20
11-Jan-2011,87A4E4-ECC5CE-CC2B77-4E3B4C-9C88F3-77AA3D-25CB99-D8470A-647EED;13|8|12|17|19|6|11|7|5,M,12:45
12-Jan-2011,ECC5CE-AED206-9C88F3-87A4E4-4E3B4C-D8470A-25CB99-CC2B77-77AA3D-647EED;20|17|11|12|12|6|10|20|5|9,Female,13:32
13-Jan-2011,25CB99-87A4E4-D8470A-ECC5CE-647EED-4E3B4C-CC2B77-77AA3D-9C88F3-AED206;7|18|6|19|5|6|17|14|19|6,Masc,8:47
14-Jan-2011,D8470A-77AA3D-AED206-CC2B77-647EED-25CB99;11|11|6|9|20|19,-,13:17
15-Jan-2011,CC2B77-25CB99-4E3B4C-D8470A-647EED-ECC5CE;18|9|12|17|7|4,Fem,17:03
16-Jan-2011,ECC5CE-AED206-647EED-87A4E4-CC2B77-4E3B4C-25CB99-9C88F3;8|15|6|15|12|9|19|17,Fem,14:28
17-Jan-2011,77AA3D-647EED-9C88F3-25CB99;19|9|20|13,Fem,16:19
18-Jan-2011,4E3B4C-87A4E4-9C88F3-CC2B77-ECC5CE-647EED-AED206-D8470A-25CB99;20|18|7|15|14|8|12|11|9,F,9:42
19-Jan-2011,647EED-77AA3D-9C88F3;13|6|8,masc,11:39
20-Jan-2011,ECC5CE-25CB99-CC2B77-87A4E4-4E3B4C-AED206-647EED;12|15|12|10|7|11|19,Masc,12:26
21-Jan-2011,D8470A-9C88F3-AED206-25CB99;12|5|6|12,masc,17:04
22-Jan-2011,ECC5CE-CC2B77-77AA3D-4E3B4C;13|14|5|18,masc,9:19
23-Jan-2011,647EED-ECC5CE-77AA3D-25CB99-CC2B77-AED206-87A4E4;4|4|4|15|20|20|12,Masc,10:24
24-Jan-2011,87A4E4-647EED-ECC5CE-9C88F3;8|14|13|14,Fem,16:23
25-Jan-2011,9C88F3-ECC5CE-77AA3D-4E3B4C-AED206-647EED-87A4E4-25CB99-D8470A-CC2B77;15|12|14|9|14|20|8|13|12|11,Fem,18:55
26-Jan-2011,AED206-77AA3D-87A4E4-D8470A-ECC5CE-25CB99-9C88F3-CC2B77;17|20|13|15|5|10|4|6,Fem,12:32
27-Jan-2011,25CB99-647EED-CC2B77-4E3B4C-ECC5CE-9C88F3-87A4E4-D8470A-AED206;7|18|13|10|5|8|5|19|16,Male,13:02
28-Jan-2011,25CB99-647EED-4E3B4C-ECC5CE;20|8|20|11,F,13:10
29-Jan-2011,ECC5CE-9C88F3-647EED;14|11|11,F,8:20
30-Jan-2011,647EED-CC2B77-ECC5CE-87A4E4-4E3B4C;19|8|18|12|14,M,10:39
31-Jan-2011,D8470A-4E3B4C-9C88F3-87A4E4-ECC5CE-25CB99;16|15|12|4|17|19,F,18:50
1-Feb-2011,25CB99-ECC5CE-9C88F3;19|14|11,Female,8:29
2-Feb-2011,25CB99-647EED-CC2B77-9C88F3-AED206-4E3B4C-D8470A-ECC5CE-87A4E4-77AA3D;5|7|18|11|11|8|20|5|13|11,fem,15:18
3-Feb-2011,9C88F3-ECC5CE-77AA3D-4E3B4C;4|14|17|4,fem,18:36
4-Feb-2011,D8470A-25CB99-87A4E4;5|5|20,Fem,15:22
5-Feb-2011,D8470A-AED206-4E3B4C-ECC5CE-77AA3D-647EED-25CB99-CC2B77-87A4E4-9C88F3;11|6|7|15|18|4|12|19|6|14,Female,11:20
6-Feb-2011,87A4E4-AED206-D8470A-4E3B4C-77AA3D-25CB99-CC2B77-ECC5CE-9C88F3-647EED;7|15|10|20|10|9|19|11|19|18,Fem,12:12
7-Feb-2011,77AA3D-D8470A-ECC5CE-647EED-9C88F3;7|20|6|7|18,Masc,17:13
8-Feb-2011,AED206-D8470A-9C88F3;4|9|4,Masc,17:05
9-Feb-2011,9C88F3-647EED-4E3B4C-AED206-D8470A-CC2B77-77AA3D-25CB99-ECC5CE;17|14|7|6|6|4|14|8|11,fem,14:03
10-Feb-2011,647EED-77AA3D-ECC5CE-4E3B4C-9C88F3-D8470A-AED206-CC2B77;5|20|9|17|13|14|7|17,Masc,14:36
11-Feb-2011,9C88F3-AED206-25CB99-87A4E4-ECC5CE-4E3B4C;11|6|4|12|12|13,-,9:54
12-Feb-2011,4E3B4C-77AA3D-ECC5CE-87A4E4-D8470A-647EED-9C88F3-25CB99;16|17|12|14|11|18|4|17,Male,17:33
13-Feb-2011,4E3B4C-D8470A-9C88F3-647EED-AED206;9|6|20|15|16,Masc,13:15
14-Feb-2011,ECC5CE-CC2B77-25CB99-AED206-9C88F3-77AA3D-87A4E4-4E3B4C-647EED-D8470A;12|15|5|12|20|17|13|20|17|9,F,19:47
15-Feb-2011,AED206-D8470A-9C88F3-ECC5CE-25CB99;13|4|13|19|16,Fem,12:42
16-Feb-2011,9C88F3-77AA3D-4E3B4C;5|19|16,Male,13:52
17-Feb-2011,CC2B77-25CB99-ECC5CE-647EED-87A4E4-D8470A-77AA3D;20|10|16|5|14|4|8,Masc,18:02
18-Feb-2011,9C88F3-77AA3D-4E3B4C;4|11|15,Masc,14:31
19-Feb-2011,AED206-CC2B77-25CB99-ECC5CE-87A4E4-4E3B4C-9C88F3-D8470A-647EED-77AA3D;12|11|9|7|4|14|11|16|16|11,Fem,14:51
20-Feb-2011,CC2B77-AED206-77AA3D-ECC5CE-87A4E4;6|10|19|14|19,Fem,20:35
21-Feb-2011,CC2B77-4E3B4C-ECC5CE-AED206-647EED-D8470A;8|4|14|11|7|7,Male,19:31
22-Feb-2011,9C88F3-D8470A-77AA3D-4E3B4C;10|8|20|16,Male,15:22
23-Feb-2011,4E3B4C-D8470A-AED206-87A4E4-ECC5CE-77AA3D;6|7|13|11|12|16,fem,10:03
24-Feb-2011,4E3B4C-25CB99-AED206;14|15|12,F,12:03
25-Feb-2011,77AA3D-647EED-25CB99-4E3B4C-CC2B77-ECC5CE-87A4E4;13|12|7|19|12|9|19,F,13:00
26-Feb-2011,D8470A-25CB99-77AA3D;17|4|15,Male,18:45
27-Feb-2011,4E3B4C-25CB99-9C88F3-D8470A-87A4E4-CC2B77-77AA3D-647EED;10|6|15|5|9|18|10|10,Female,19:52
28-Feb-2011,25CB99-4E3B4C-9C88F3;9|15|17,F,8:13
1-Mar-2011,D8470A-9C88F3-AED206-647EED-4E3B4C-25CB99-CC2B77-77AA3D;12|20|9|6|12|12|4|18,fem,20:15
2-Mar-2011,25CB99-9C88F3-ECC5CE-647EED-CC2B77-4E3B4C-D8470A-77AA3D-AED206-87A4E4;6|12|6|14|13|10|14|6|18|4,-,14:25
3-Mar-2011,9C88F3-647EED-ECC5CE-4E3B4C-D8470A-CC2B77-87A4E4-77AA3D-25CB99-AED206;16|4|15|5|5|20|12|5|11|19,Masc,19:34
4-Mar-2011,4E3B4C-ECC5CE-AED206-D8470A-77AA3D-9C88F3-647EED;7|5|5|10|11|6|14,Fem,13:43
5-Mar-2011,77AA3D-CC2B77-4E3B4C-25CB99-647EED-AED206-D8470A;12|9|13|12|15|19|10,Female,18:14
6-Mar-2011,647EED-77AA3D-CC2B77-D8470A-AED206-ECC5CE-9C88F3;13|14|11|4|16|9|8,Masc,13:06
7-Mar-2011,4E3B4C-9C88F3-D8470A-ECC5CE-CC2B77-647EED-77AA3D-87A4E4-25CB99-AED206;8|8|7|16|11|7|10|17|9|20,Female,14:42
8-Mar-2011,9C88F3-CC2B77-AED206;10|14|11,masc,15:44
9-Mar-2011,9C88F3-647EED-ECC5CE;9|8|16,Masc,14:40
10-Mar-2011,25CB99-77AA3D-4E3B4C-9C88F3-647EED-D8470A-CC2B77-ECC5CE-87A4E4;6|11|5|4|19|15|15|19|9,Fem,18:09
11-Mar-2011,9C88F3-4E3B4C-25CB99-87A4E4-CC2B77-77AA3D;18|18|20|4|19|6,Masc,19:30
12-Mar-2011,647EED-ECC5CE-AED206-87A4E4-CC2B77-4E3B4C;18|6|20|14|7|10,masc,15:40
13-Mar-2011,87A4E4-9C88F3-D8470A-ECC5CE-647EED-25CB99-77AA3D-AED206;19|10|10|20|13|5|6|19,Masc,8:21
14-Mar-2011,77AA3D-AED206-CC2B77;11|10|9,-,17:39
15-Mar-2011,77AA3D-AED206-25CB99-CC2B77-D8470A-4E3B4C-647EED-87A4E4-ECC5CE;15|18|17|9|20|6|4|20|9,masc,10:26
16-Mar-2011,D8470A-AED206-CC2B77-87A4E4;8|10|12|20,F,12:03
17-Mar-2011,77AA3D-87A4E4-AED206;11|20|13,Female,14:17
18-Mar-2011,87A4E4-4E3B4C-9C88F3-647EED-77AA3D-ECC5CE-D8470A;12|17|14|4|12|16|5,Fem,11:13
19-Mar-2011,77AA3D-CC2B77-ECC5CE-87A4E4-647EED-AED206;11|9|15|17|4|19,fem,14:15
20-Mar-2011,77AA3D-CC2B77-4E3B4C-9C88F3-AED206;11|20|6|11|20,Masc,9:30
21-Mar-2011,9C88F3-77AA3D-AED206-87A4E4-CC2B77;18|5|6|5|16,masc,15:53
22-Mar-2011,647EED-87A4E4-4E3B4C-77AA3D;5|10|7|13,Female,15:23
23-Mar-2011,D8470A-CC2B77-9C88F3-25CB99-647EED-ECC5CE-77AA3D-AED206;11|12|10|15|11|17|19|11,F,12:18
24-Mar-2011,647EED-25CB99-77AA3D-AED206-87A4E4-CC2B77-ECC5CE;5|18|15|15|16|17|15,-,10:34
25-Mar-2011,D8470A-4E3B4C-647EED-AED206-87A4E4-25CB99;4|11|9|13|5|15,Female,18:33
26-Mar-2011,9C88F3-25CB99-ECC5CE-77AA3D-CC2B77;19|20|6|7|5,F,14:50
27-Mar-2011,25CB99-AED206-9C88F3-CC2B77-D8470A-647EED;18|6|11|4|12|16,Fem,15:04
28-Mar-2011,87A4E4-9C88F3-4E3B4C-647EED-CC2B77-77AA3D-D8470A-25CB99;7|18|18|6|16|17|18|5,fem,17:09
29-Mar-2011,D8470A-647EED-87A4E4-9C88F3-AED206-ECC5CE;7|18|15|19|14|12,M,8:05
30-Mar-2011,D8470A-4E3B4C-AED206-77AA3D-25CB99-CC2B77-87A4E4-9C88F3-ECC5CE;9|5|8|12|5|6|5|11|9,Masc,12:24
31-Mar-2011,CC2B77-87A4E4-9C88F3-647EED-77AA3D-25CB99-D8470A-ECC5CE-AED206-4E3B4C;18|17|11|19|12|18|5|4|7|11,Fem,17:03
1-Apr-2011,ECC5CE-25CB99-CC2B77-AED206-77AA3D-D8470A-647EED;19|18|7|14|14|20|18,Male,11:16
2-Apr-2011,25CB99-4E3B4C-AED206-CC2B77-87A4E4-ECC5CE-77AA3D-9C88F3-D8470A;10|8|12|16|4|8|10|17|5,fem,12:42
3-Apr-2011,D8470A-4E3B4C-77AA3D-647EED-9C88F3;20|7|18|18|18,Male,17:15
4-Apr-2011,647EED-25CB99-ECC5CE;10|15|7,Masc,19:04
5-Apr-2011,4E3B4C-25CB99-647EED-77AA3D-ECC5CE;19|5|9|13|19,-,19:30
6-Apr-2011,77AA3D-87A4E4-AED206-CC2B77-4E3B4C;7|8|17|5|13,Fem,18:22
7-Apr-2011,25CB99-647EED-AED206-87A4E4-ECC5CE-4E3B4C-77AA3D-CC2B77-D8470A;11|12|9|15|4|14|5|15|5,fem,15:16
8-Apr-2011,77AA3D-4E3B4C-AED206-CC2B77;15|8|15|19,Male,8:50
9-Apr-2011,4E3B4C-87A4E4-AED206-ECC5CE-647EED-9C88F3-77AA3D-CC2B77-D8470A-25CB99;12|6|15|18|8|8|9|8|17|11,Masc,12:38
10-Apr-2011,77AA3D-AED206-D8470A-9C88F3-CC2B77-ECC5CE-647EED;10|19|15|4|17|4|19,-,20:53
11-Apr-2011,ECC5CE-4E3B4C-87A4E4-25CB99-77AA3D-AED206;4|9|20|4|8|18,masc,8:48
12-Apr-2011,87A4E4-9C88F3-D8470A-25CB99-77AA3D-647EED-AED206-CC2B77;13|19|12|4|17|17|15|7,Fem,20:38
13-Apr-2011,25CB99-AED206-D8470A-9C88F3-CC2B77-87A4E4-647EED;18|20|13|6|14|12|8,F,20:00
14-Apr-2011,25CB99-AED206-9C88F3;13|10|6,Male,17:50
15-Apr-2011,647EED-9C88F3-87A4E4-D8470A-AED206-4E3B4C;13|18|6|17|18|15,Fem,17:05
16-Apr-2011,25CB99-647EED-87A4E4-D8470A;11|15|12|19,Masc,17:30
17-Apr-2011,77AA3D-25CB99-AED206-CC2B77-4E3B4C-647EED;13|6|19|19|11|18,fem,13:03
18-Apr-2011,4E3B4C-9C88F3-ECC5CE-87A4E4-647EED-77AA3D-AED206-D8470A-CC2B77-25CB99;17|20|6|5|15|13|17|9|20|11,masc,19:20
19-Apr-2011,CC2B77-9C88F3-87A4E4-25CB99-AED206;9|12|5|12|16,Fem,18:21
20-Apr-2011,9C88F3-25CB99-77AA3D;14|10|10,Fem,17:17
21-Apr-2011,25CB99-87A4E4-647EED-9C88F3-AED206;11|8|13|13|15,fem,12:28
22-Apr-2011,CC2B77-77AA3D-87A4E4-4E3B4C-D8470A-25CB99-9C88F3-AED206-647EED;9|13|11|18|9|20|14|10|5,Masc,18:46
23-Apr-2011,ECC5CE-87A4E4-647EED;18|9|17,Masc,20:33
24-Apr-2011,87A4E4-647EED-9C88F3-CC2B77-ECC5CE-4E3B4C;10|19|20|20|11|14,F,14:08
25-Apr-2011,9C88F3-25CB99-CC2B77-D8470A-77AA3D-4E3B4C-ECC5CE-AED206-87A4E4-647EED;4|11|6|16|13|14|18|17|9|11,M,13:11
26-Apr-2011,AED206-9C88F3-CC2B77;4|7|5,Masc,16:44
27-Apr-2011,ECC5CE-647EED-D8470A-9C88F3-77AA3D-25CB99-4E3B4C-AED206;13|14|11|20|8|20|7|10,Masc,20:22
28-Apr-2011,647EED-9C88F3-AED206;20|9|14,Masc,11:50
29-Apr-2011,CC2B77-9C88F3-4E3B4C-ECC5CE-647EED-87A4E4;20|7|15|6|8|17,F,19:41
30-Apr-2011,ECC5CE-647EED-CC2B77-4E3B4C-25CB99-9C88F3;16|8|7|5|18|19,F,11:03
1-May-2011,647EED-87A4E4-AED206-9C88F3-77AA3D-ECC5CE-CC2B77-4E3B4C;11|16|17|13|18|17|8|15,Masc,11:49
2-May-2011,77AA3D-9C88F3-AED206-D8470A-647EED-CC2B77-87A4E4-4E3B4C-ECC5CE;6|18|19|16|9|14|6|6|11,-,14:52
3-May-2011,D8470A-647EED-CC2B77-25CB99-9C88F3-AED206-87A4E4-77AA3D-4E3B4C;11|5|4|18|12|12|6|15|10,masc,8:46
4-May-2011,9C88F3-ECC5CE-D8470A-4E3B4C-647EED-AED206;8|9|14|14|11|17,Masc,8:45
5-May-2011,87A4E4-ECC5CE-25CB99-647EED-4E3B4C-D8470A-CC2B77-9C88F3-AED206-77AA3D;19|5|10|13|8|13|7|17|18|4,masc,9:37
6-May-2011,87A4E4-4E3B4C-ECC5CE-CC2B77;10|19|12|20,F,17:07
7-May-2011,AED206-9C88F3-CC2B77-ECC5CE-647EED-87A4E4;20|14|9|6|7|10,M,13:22
8-May-2011,87A4E4-77AA3D-9C88F3-ECC5CE-647EED;19|6|13|7|18,F,11:30
9-May-2011,AED206-647EED-9C88F3-87A4E4-25CB99-CC2B77;20|20|8|14|16|15,Fem,9:15
10-May-2011,ECC5CE-4E3B4C-25CB99-CC2B77-87A4E4-9C88F3-D8470A-77AA3D-AED206-647EED;5|4|11|15|11|12|15|15|4|13,Fem,20:53
11-May-2011,AED206-87A4E4-CC2B77-4E3B4C-77AA3D-25CB99-ECC5CE;16|4|13|19|11|12|8,Fem,20:19
12-May-2011,87A4E4-AED206-647EED-77AA3D-9C88F3-4E3B4C-CC2B77-ECC5CE;10|17|18|17|18|14|19|11,Masc,11:50
13-May-2011,25CB99-87A4E4-647EED-ECC5CE;5|4|13|6,-,11:31
