date,sku,units,genre,hour,genre_cleaned,day,25CB99,87A4E4,CC2B77,AED206,9C88F3,ECC5CE,77AA3D,D8470A,647EED,4E3B4C
22-Nov-2010,25CB99-CC2B77-4E3B4C-D8470A-77AA3D-647EED,20|13|17|15|13|4,M,18:54,M,Mon,20,0,13,0,0,0,13,15,4,17
23-Nov-2010,CC2B77-4E3B4C-25CB99-9C88F3-ECC5CE-647EED-87A4E4-D8470A-AED206-77AA3D,9|4|18|12|12|19|8|12|18|12,-,9:55,-,Tue,18,8,9,18,12,12,12,12,19,4
24-Nov-2010,ECC5CE-25CB99-CC2B77-647EED-77AA3D-D8470A-9C88F3-87A4E4,10|8|18|14|7|13|5|9,Masc,19:24,M,Wed,8,9,18,0,5,10,7,13,14,0
25-Nov-2010,9C88F3-25CB99-D8470A-87A4E4,15|6|18|4,Fem,20:28,F,Thu,6,4,0,0,15,0,0,18,0,0
26-Nov-2010,25CB99-ECC5CE-647EED-CC2B77-AED206-D8470A,20|4|11|12|10|19,Fem,16:20,F,Fri,20,0,12,10,0,4,0,19,11,0
27-Nov-2010,AED206-D8470A-9C88F3-CC2B77-77AA3D-ECC5CE-4E3B4C-87A4E4-647EED-25CB99,9|5|5|19|8|19|10|18|15|5,F,11:24,F,Sat,5,18,19,9,5,19,8,5,15,10
28-Nov-2010,4E3B4C-77AA3D-25CB99-D8470A,17|19|11|10,-,19:33,-,Sun,11,0,0,0,0,0,19,10,0,17
29-Nov-2010,77AA3D-87A4E4-ECC5CE-AED206-25CB99-D8470A-CC2B77-4E3B4C,18|4|16|10|11|14|13|17,Fem,14:22,F,Mon,11,4,13,10,0,16,18,14,0,17
30-Nov-2010,647EED-9C88F3-CC2B77-D8470A-ECC5CE-87A4E4-4E3B4C-AED206-25CB99-77AA3D,12|4|19|5|18|16|13|16|18|20,Fem,14:05,F,Tue,18,16,19,16,4,18,20,5,12,13
1-Dec-2010,CC2B77-4E3B4C-D8470A-647EED-87A4E4-ECC5CE,17|16|18|15|11|7,Masc,14:35,M,Wed,0,11,17,0,0,7,0,18,15,16
2-Dec-2010,4E3B4C-87A4E4-25CB99-D8470A-CC2B77-9C88F3-647EED-77AA3D-ECC5CE,17|20|5|8|8|14|12|4|17,Fem,10:10,F,Thu,5,20,8,0,14,17,4,8,12,17
3-Dec-2010,CC2B77-4E3B4C-77AA3D,13|10|5,F,13:09,F,Fri,0,0,13,0,0,0,5,0,0,10
4-Dec-2010,77AA3D-647EED-ECC5CE-25CB99,17|19|12|10,Fem,12:34,F,Sat,10,0,0,0,0,12,17,0,19,0
5-Dec-2010,AED206-CC2B77-4E3B4C-ECC5CE-25CB99,18|4|4|20|8,F,14:22,F,Sun,8,0,4,18,0,20,0,0,0,4
6-Dec-2010,CC2B77-4E3B4C-D8470A-ECC5CE,14|11|5|12,F,16:02,F,Mon,0,0,14,0,0,12,0,5,0,11
7-Dec-2010,CC2B77-ECC5CE-87A4E4-9C88F3-25CB99-D8470A-647EED,10|20|16|4|9|10|20,fem,20:01,F,Tue,9,16,10,0,4,20,0,10,20,0
8-Dec-2010,CC2B77-4E3B4C-647EED-9C88F3-D8470A-87A4E4-77AA3D-25CB99-AED206,19|16|9|5|4|16|8|9|4,Male,14:02,M,Wed,9,16,19,4,5,0,8,4,9,16
9-Dec-2010,CC2B77-D8470A-AED206-87A4E4-25CB99-647EED,5|15|7|10|14|17,Fem,10:01,F,Thu,14,10,5,7,0,0,0,15,17,0
10-Dec-2010,77AA3D-4E3B4C-ECC5CE-9C88F3,9|5|9|8,Male,20:28,M,Fri,0,0,0,0,8,9,9,0,0,5
11-Dec-2010,25CB99-87A4E4-9C88F3-CC2B77-4E3B4C,11|6|17|13|15,Male,9:45,M,Sat,11,6,13,0,17,0,0,0,0,15
12-Dec-2010,D8470A-9C88F3-77AA3D-AED206-ECC5CE,20|15|9|7|16,fem,9:28,F,Sun,0,0,0,7,15,16,9,20,0,0
13-Dec-2010,87A4E4-AED206-ECC5CE-25CB99-D8470A-647EED-4E3B4C-CC2B77-77AA3D-9C88F3,16|13|16|9|16|7|14|17|8|6,Masc,13:11,M,Mon,9,16,17,13,6,16,8,16,7,14
14-Dec-2010,647EED-CC2B77-AED206,16|16|4,Masc,20:49,M,Tue,0,0,16,4,0,0,0,0,16,0
15-Dec-2010,D8470A-647EED-CC2B77-4E3B4C-77AA3D,13|17|18|19|17,Fem,20:15,F,Wed,0,0,18,0,0,0,17,13,17,19
16-Dec-2010,ECC5CE-4E3B4C-CC2B77-D8470A-9C88F3,17|10|17|9|16,fem,11:28,F,Thu,0,0,17,0,16,17,0,9,0,10
17-Dec-2010,4E3B4C-CC2B77-9C88F3-77AA3D-D8470A,15|19|18|11|7,-,15:31,-,Fri,0,0,19,0,18,0,11,7,0,15
18-Dec-2010,AED206-CC2B77-D8470A-ECC5CE-25CB99-87A4E4-647EED-77AA3D,8|10|7|8|17|12|5|19,M,12:39,M,Sat,17,12,10,8,0,8,19,7,5,0
19-Dec-2010,25CB99-ECC5CE-D8470A,15|14|14,Female,8:13,F,Sun,15,0,0,0,0,14,0,14,0,0
20-Dec-2010,77AA3D-647EED-D8470A-9C88F3-AED206-87A4E4-4E3B4C-25CB99-ECC5CE,20|6|12|9|17|9|12|20|11,Male,15:06,M,Mon,20,9,0,17,9,11,20,12,6,12
21-Dec-2010,77AA3D-D8470A-ECC5CE-25CB99-9C88F3-4E3B4C-AED206-CC2B77,14|4|8|10|9|6|4|7,Masc,18:25,M,Tue,10,0,7,4,9,8,14,4,0,6
22-Dec-2010,CC2B77-D8470A-ECC5CE-647EED-25CB99-77AA3D-AED206-87A4E4-4E3B4C,15|20|12|5|8|9|9|16|9,Masc,10:03,M,Wed,8,16,15,9,0,12,9,20,5,9
23-Dec-2010,4E3B4C-9C88F3-D8470A,17|20|17,-,12:32,-,Thu,0,0,0,0,20,0,0,17,0,17
24-Dec-2010,9C88F3-D8470A-4E3B4C-AED206-CC2B77-ECC5CE-647EED-25CB99-87A4E4-77AA3D,4|5|6|13|20|16|17|19|6|18,-,12:05,-,Fri,19,6,20,13,4,16,18,5,17,6
25-Dec-2010,87A4E4-77AA3D-25CB99-D8470A,18|18|7|20,Fem,9:26,F,Sat,7,18,0,0,0,0,18,20,0,0
26-Dec-2010,D8470A-25CB99-4E3B4C-ECC5CE-AED206-CC2B77-87A4E4,4|4|13|13|5|9|8,fem,14:15,F,Sun,4,8,9,5,0,13,0,4,0,13
27-Dec-2010,CC2B77-ECC5CE-4E3B4C-25CB99-9C88F3,6|17|10|14|13,Male,16:53,M,Mon,14,0,6,0,13,17,0,0,0,10
28-Dec-2010,CC2B77-25CB99-D8470A-AED206-ECC5CE-4E3B4C,9|12|10|18|5|17,masc,14:03,M,Tue,12,0,9,18,0,5,0,10,0,17
29-Dec-2010,ECC5CE-87A4E4-D8470A-CC2B77,19|17|16|14,Female,18:31,F,Wed,0,17,14,0,0,19,0,16,0,0
30-Dec-2010,9C88F3-25CB99-77AA3D-AED206-87A4E4-647EED-4E3B4C-CC2B77-ECC5CE-D8470A,5|18|14|16|11|8|19|13|8|10,Masc,17:34,M,Thu,18,11,13,16,5,8,14,10,8,19
31-Dec-2010,4E3B4C-AED206-9C88F3-CC2B77-D8470A-25CB99-77AA3D-647EED,8|18|15|4|18|7|13|10,Fem,10:55,F,Fri,7,0,4,18,15,0,13,18,10,8
1-Jan-2011,D8470A-ECC5CE-87A4E4-9C88F3,14|7|5|7,Fem,14:03,F,Sat,0,5,0,0,7,7,0,14,0,0
2-Jan-2011,9C88F3-77AA3D-AED206-4E3B4C-25CB99-87A4E4-ECC5CE,11|18|9|5|14|17|10,Masc,13:38,M,Sun,14,17,0,9,11,10,18,0,0,5
3-Jan-2011,87A4E4-25CB99-D8470A-CC2B77-9C88F3-4E3B4C-AED206-77AA3D,9|18|7|4|15|18|13|8,Male,20:26,M,Mon,18,9,4,13,15,0,8,7,0,18
4-Jan-2011,647EED-9C88F3-4E3B4C-ECC5CE-AED206-CC2B77-87A4E4-25CB99-D8470A,14|18|17|12|11|17|4|15|5,F,18:01,F,Tue,15,4,17,11,18,12,0,5,14,17
5-Jan-2011,D8470A-9C88F3-87A4E4-77AA3D-AED206,15|7|13|15|6,Female,14:24,F,Wed,0,13,0,6,7,0,15,15,0,0
6-Jan-2011,647EED-D8470A-4E3B4C,6|18|18,Fem,16:45,F,Thu,0,0,0,0,0,0,0,18,6,18
7-Jan-2011,87A4E4-25CB99-D8470A-AED206-9C88F3-ECC5CE-77AA3D-647EED,9|5|14|20|6|7|8|4,Female,16:10,F,Fri,5,9,0,20,6,7,8,14,4,0
8-Jan-2011,77AA3D-CC2B77-D8470A-25CB99-ECC5CE,7|8|20|16|6,Masc,19:33,M,Sat,16,0,8,0,0,6,7,20,0,0
9-Jan-2011,9C88F3-647EED-87A4E4-4E3B4C-D8470A-ECC5CE-25CB99-CC2B77-AED206,9|11|17|17|9|11|11|13|19,Masc,9:41,M,Sun,11,17,13,19,9,11,0,9,11,17
10-Jan-2011,CC2B77-ECC5CE-77AA3D-D8470A-AED206-647EED-9C88F3-25CB99-4E3B4C,11|5|18|20|15|12|5|11|19,-,9:20,-,Mon,11,0,11,15,5,5,18,20,12,19
11-Jan-2011,87A4E4-ECC5CE-CC2B77-4E3B4C-9C88F3-77AA3D-25CB99-D8470A-647EED,13|8|12|17|19|6|11|7|5,M,12:45,M,Tue,11,13,12,0,19,8,6,7,5,17
12-Jan-2011,ECC5CE-AED206-9C88F3-87A4E4-4E3B4C-D8470A-25CB99-CC2B77-77AA3D-647EED,20|17|11|12|12|6|10|20|5|9,Female,13:32,F,Wed,10,12,20,17,11,20,5,6,9,12
13-Jan-2011,25CB99-87A4E4-D8470A-ECC5CE-647EED-4E3B4C-CC2B77-77AA3D-9C88F3-AED206,7|18|6|19|5|6|17|14|19|6,Masc,8:47,M,Thu,7,18,17,6,19,19,14,6,5,6
14-Jan-2011,D8470A-77AA3D-AED206-CC2B77-647EED-25CB99,11|11|6|9|20|19,-,13:17,-,Fri,19,0,9,6,0,0,11,11,20,0
15-Jan-2011,CC2B77-25CB99-4E3B4C-D8470A-647EED-ECC5CE,18|9|12|17|7|4,Fem,17:03,F,Sat,9,0,18,0,0,4,0,17,7,12
16-Jan-2011,ECC5CE-AED206-647EED-87A4E4-CC2B77-4E3B4C-25CB99-9C88F3,8|15|6|15|12|9|19|17,Fem,14:28,F,Sun,19,15,12,15,17,8,0,0,6,9
17-Jan-2011,77AA3D-647EED-9C88F3-25CB99,19|9|20|13,Fem,16:19,F,Mon,13,0,0,0,20,0,19,0,9,0
18-Jan-2011,4E3B4C-87A4E4-9C88F3-CC2B77-ECC5CE-647EED-AED206-D8470A-25CB99,20|18|7|15|14|8|12|11|9,F,9:42,F,Tue,9,18,15,12,7,14,0,11,8,20
19-Jan-2011,647EED-77AA3D-9C88F3,13|6|8,masc,11:39,M,Wed,0,0,0,0,8,0,6,0,13,0
20-Jan-2011,ECC5CE-25CB99-CC2B77-87A4E4-4E3B4C-AED206-647EED,12|15|12|10|7|11|19,Masc,12:26,M,Thu,15,10,12,11,0,12,0,0,19,7
21-Jan-2011,D8470A-9C88F3-AED206-25CB99,12|5|6|12,masc,17:04,M,Fri,12,0,0,6,5,0,0,12,0,0
22-Jan-2011,ECC5CE-CC2B77-77AA3D-4E3B4C,13|14|5|18,masc,9:19,M,Sat,0,0,14,0,0,13,5,0,0,18
23-Jan-2011,647EED-ECC5CE-77AA3D-25CB99-CC2B77-AED206-87A4E4,4|4|4|15|20|20|12,Masc,10:24,M,Sun,15,12,20,20,0,4,4,0,4,0
24-Jan-2011,87A4E4-647EED-ECC5CE-9C88F3,8|14|13|14,Fem,16:23,F,Mon,0,8,0,0,14,13,0,0,14,0
25-Jan-2011,9C88F3-ECC5CE-77AA3D-4E3B4C-AED206-647EED-87A4E4-25CB99-D8470A-CC2B77,15|12|14|9|14|20|8|13|12|11,Fem,18:55,F,Tue,13,8,11,14,15,12,14,12,20,9
26-Jan-2011,AED206-77AA3D-87A4E4-D8470A-ECC5CE-25CB99-9C88F3-CC2B77,17|20|13|15|5|10|4|6,Fem,12:32,F,Wed,10,13,6,17,4,5,20,15,0,0
27-Jan-2011,25CB99-647EED-CC2B77-4E3B4C-ECC5CE-9C88F3-87A4E4-D8470A-AED206,7|18|13|10|5|8|5|19|16,Male,13:02,M,Thu,7,5,13,16,8,5,0,19,18,10
28-Jan-2011,25CB99-647EED-4E3B4C-ECC5CE,20|8|20|11,F,13:10,F,Fri,20,0,0,0,0,11,0,0,8,20
29-Jan-2011,ECC5CE-9C88F3-647EED,14|11|11,F,8:20,F,Sat,0,0,0,0,11,14,0,0,11,0
30-Jan-2011,647EED-CC2B77-ECC5CE-87A4E4-4E3B4C,19|8|18|12|14,M,10:39,M,Sun,0,12,8,0,0,18,0,0,19,14
31-Jan-2011,D8470A-4E3B4C-9C88F3-87A4E4-ECC5CE-25CB99,16|15|12|4|17|19,F,18:50,F,Mon,19,4,0,0,12,17,0,16,0,15
1-Feb-2011,25CB99-ECC5CE-9C88F3,19|14|11,Female,8:29,F,Tue,19,0,0,0,11,14,0,0,0,0
2-Feb-2011,25CB99-647EED-CC2B77-9C88F3-AED206-4E3B4C-D8470A-ECC5CE-87A4E4-77AA3D,5|7|18|11|11|8|20|5|13|11,fem,15:18,F,Wed,5,13,18,11,11,5,11,20,7,8
3-Feb-2011,9C88F3-ECC5CE-77AA3D-4E3B4C,4|14|17|4,fem,18:36,F,Thu,0,0,0,0,4,14,17,0,0,4
4-Feb-2011,D8470A-25CB99-87A4E4,5|5|20,Fem,15:22,F,Fri,5,20,0,0,0,0,0,5,0,0
5-Feb-2011,D8470A-AED206-4E3B4C-ECC5CE-77AA3D-647EED-25CB99-CC2B77-87A4E4-9C88F3,11|6|7|15|18|4|12|19|6|14,Female,11:20,F,Sat,12,6,19,6,14,15,18,11,4,7
6-Feb-2011,87A4E4-AED206-D8470A-4E3B4C-77AA3D-25CB99-CC2B77-ECC5CE-9C88F3-647EED,7|15|10|20|10|9|19|11|19|18,Fem,12:12,F,Sun,9,7,19,15,19,11,10,10,18,20
7-Feb-2011,77AA3D-D8470A-ECC5CE-647EED-9C88F3,7|20|6|7|18,Masc,17:13,M,Mon,0,0,0,0,18,6,7,20,7,0
8-Feb-2011,AED206-D8470A-9C88F3,4|9|4,Masc,17:05,M,Tue,0,0,0,4,4,0,0,9,0,0
9-Feb-2011,9C88F3-647EED-4E3B4C-AED206-D8470A-CC2B77-77AA3D-25CB99-ECC5CE,17|14|7|6|6|4|14|8|11,fem,14:03,F,Wed,8,0,4,6,17,11,14,6,14,7
10-Feb-2011,647EED-77AA3D-ECC5CE-4E3B4C-9C88F3-D8470A-AED206-CC2B77,5|20|9|17|13|14|7|17,Masc,14:36,M,Thu,0,0,17,7,13,9,20,14,5,17
11-Feb-2011,9C88F3-AED206-25CB99-87A4E4-ECC5CE-4E3B4C,11|6|4|12|12|13,-,9:54,-,Fri,4,12,0,6,11,12,0,0,0,13
12-Feb-2011,4E3B4C-77AA3D-ECC5CE-87A4E4-D8470A-647EED-9C88F3-25CB99,16|17|12|14|11|18|4|17,Male,17:33,M,Sat,17,14,0,0,4,12,17,11,18,16
13-Feb-2011,4E3B4C-D8470A-9C88F3-647EED-AED206,9|6|20|15|16,Masc,13:15,M,Sun,0,0,0,16,20,0,0,6,15,9
14-Feb-2011,ECC5CE-CC2B77-25CB99-AED206-9C88F3-77AA3D-87A4E4-4E3B4C-647EED-D8470A,12|15|5|12|20|17|13|20|17|9,F,19:47,F,Mon,5,13,15,12,20,12,17,9,17,20
15-Feb-2011,AED206-D8470A-9C88F3-ECC5CE-25CB99,13|4|13|19|16,Fem,12:42,F,Tue,16,0,0,13,13,19,0,4,0,0
16-Feb-2011,9C88F3-77AA3D-4E3B4C,5|19|16,Male,13:52,M,Wed,0,0,0,0,5,0,19,0,0,16
17-Feb-2011,CC2B77-25CB99-ECC5CE-647EED-87A4E4-D8470A-77AA3D,20|10|16|5|14|4|8,Masc,18:02,M,Thu,10,14,20,0,0,16,8,4,5,0
18-Feb-2011,9C88F3-77AA3D-4E3B4C,4|11|15,Masc,14:31,M,Fri,0,0,0,0,4,0,11,0,0,15
19-Feb-2011,AED206-CC2B77-25CB99-ECC5CE-87A4E4-4E3B4C-9C88F3-D8470A-647EED-77AA3D,12|11|9|7|4|14|11|16|16|11,Fem,14:51,F,Sat,9,4,11,12,11,7,11,16,16,14
20-Feb-2011,CC2B77-AED206-77AA3D-ECC5CE-87A4E4,6|10|19|14|19,Fem,20:35,F,Sun,0,19,6,10,0,14,19,0,0,0
21-Feb-2011,CC2B77-4E3B4C-ECC5CE-AED206-647EED-D8470A,8|4|14|11|7|7,Male,19:31,M,Mon,0,0,8,11,0,14,0,7,7,4
22-Feb-2011,9C88F3-D8470A-77AA3D-4E3B4C,10|8|20|16,Male,15:22,M,Tue,0,0,0,0,10,0,20,8,0,16
23-Feb-2011,4E3B4C-D8470A-AED206-87A4E4-ECC5CE-77AA3D,6|7|13|11|12|16,fem,10:03,F,Wed,0,11,0,13,0,12,16,7,0,6
24-Feb-2011,4E3B4C-25CB99-AED206,14|15|12,F,12:03,F,Thu,15,0,0,12,0,0,0,0,0,14
25-Feb-2011,77AA3D-647EED-25CB99-4E3B4C-CC2B77-ECC5CE-87A4E4,13|12|7|19|12|9|19,F,13:00,F,Fri,7,19,12,0,0,9,13,0,12,19
26-Feb-2011,D8470A-25CB99-77AA3D,17|4|15,Male,18:45,M,Sat,4,0,0,0,0,0,15,17,0,0
27-Feb-2011,4E3B4C-25CB99-9C88F3-D8470A-87A4E4-CC2B77-77AA3D-647EED,10|6|15|5|9|18|10|10,Female,19:52,F,Sun,6,9,18,0,15,0,10,5,10,10
28-Feb-2011,25CB99-4E3B4C-9C88F3,9|15|17,F,8:13,F,Mon,9,0,0,0,17,0,0,0,0,15
1-Mar-2011,D8470A-9C88F3-AED206-647EED-4E3B4C-25CB99-CC2B77-77AA3D,12|20|9|6|12|12|4|18,fem,20:15,F,Tue,12,0,4,9,20,0,18,12,6,12
2-Mar-2011,25CB99-9C88F3-ECC5CE-647EED-CC2B77-4E3B4C-D8470A-77AA3D-AED206-87A4E4,6|12|6|14|13|10|14|6|18|4,-,14:25,-,Wed,6,4,13,18,12,6,6,14,14,10
3-Mar-2011,9C88F3-647EED-ECC5CE-4E3B4C-D8470A-CC2B77-87A4E4-77AA3D-25CB99-AED206,16|4|15|5|5|20|12|5|11|19,Masc,19:34,M,Thu,11,12,20,19,16,15,5,5,4,5
4-Mar-2011,4E3B4C-ECC5CE-AED206-D8470A-77AA3D-9C88F3-647EED,7|5|5|10|11|6|14,Fem,13:43,F,Fri,0,0,0,5,6,5,11,10,14,7
5-Mar-2011,77AA3D-CC2B77-4E3B4C-25CB99-647EED-AED206-D8470A,12|9|13|12|15|19|10,Female,18:14,F,Sat,12,0,9,19,0,0,12,10,15,13
6-Mar-2011,647EED-77AA3D-CC2B77-D8470A-AED206-ECC5CE-9C88F3,13|14|11|4|16|9|8,Masc,13:06,M,Sun,0,0,11,16,8,9,14,4,13,0
7-Mar-2011,4E3B4C-9C88F3-D8470A-ECC5CE-CC2B77-647EED-77AA3D-87A4E4-25CB99-AED206,8|8|7|16|11|7|10|17|9|20,Female,14:42,F,Mon,9,17,11,20,8,16,10,7,7,8
8-Mar-2011,9C88F3-CC2B77-AED206,10|14|11,masc,15:44,M,Tue,0,0,14,11,10,0,0,0,0,0
9-Mar-2011,9C88F3-647EED-ECC5CE,9|8|16,Masc,14:40,M,Wed,0,0,0,0,9,16,0,0,8,0
10-Mar-2011,25CB99-77AA3D-4E3B4C-9C88F3-647EED-D8470A-CC2B77-ECC5CE-87A4E4,6|11|5|4|19|15|15|19|9,Fem,18:09,F,Thu,6,9,15,0,4,19,11,15,19,5
